model_label,Model_Code,refLabel,refPercent,BpS_Name,Var1,Var2,Freq,BPS_CODE,ZONE,total_count,currentPercent
13651_40_41_50_Developed,13651_40_41_50,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1596,120,353939,13651,41,7431517,4
13651_40_41_50_Developed,13651_40_41_50,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1650,120,5,13651,40,239,2
13651_40_41_50_Water,13651_40_41_50,Water,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_40_41_50_UN,13651_40_41_50,UN,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_40_41_50_UE,13651_40_41_50,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1596,7,259974,13651,41,7431517,3
13651_40_41_50_UE,13651_40_41_50,UE,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,1650,7,29,13651,40,239,12
13651_51_A,13651_51,A,7,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_B,13651_51,B,22,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_C,13651_51,C,7,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_D,13651_51,D,64,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_E,13651_51,E,NA,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_Agriculture,13651_51,Agriculture,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_Developed,13651_51,Developed,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_Water,13651_51,Water,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
13651_51_UN,13651_51,UN,0,Boreal White Spruce-Fir-Hardwood Forest - Inland,NA,NA,NA,NA,NA,NA,NA
